time_s,AorticArchII,ThoracicAortaII,LSubclavianI,RIliacFemoralII,LUlnar,RAnteriorTibial,RUlnar,Splenic
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.00000000e-03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.00000000e-03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.00000000e-03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,-2.92364481e-14,7.33270897e-14,-1.86421556e-13,-1.16816834e-14
4.00000000e-03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,-1.02327568e-13,1.19767580e-12,-2.94546059e-12,1.16816834e-14
5.00000000e-03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,-3.01135416e-12,9.65473347e-12,-2.56329640e-11,1.06303319e-12
6.00000000e-03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,-2.19127179e-11,2.25847436e-11,-1.54543470e-10,3.85495552e-12
7.00000000e-03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,4.27436871e-11,-2.60677804e-10,-1.37970594e-10,-3.16924071e-11
8.00000000e-03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,4.07702269e-10,-7.37670522e-10,3.84432941e-09,2.70314154e-11
9.00000000e-03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,-1.64694760e-09,5.06194010e-09,4.87906225e-09,2.62125294e-10
1.00000000e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.74857349e-09,-6.36014734e-09,-5.88635758e-08,-1.37306507e-09
1.10000000e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,5.96721753e-09,-2.09449055e-08,1.14394810e-07,4.31527226e-09
1.20000000e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,-3.59892344e-08,1.28804068e-07,7.71160358e-08,-1.12957790e-08
1.30000000e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.18183240e-07,-4.14586623e-07,-1.07782371e-06,2.79448530e-08
1.40000000e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,-3.15409717e-07,1.08849269e-06,4.00117576e-06,-6.83696922e-08
1.50000000e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,7.50511113e-07,-2.65353911e-06,-1.12364277e-05,1.62892349e-07
1.60000000e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,-1.59717169e-06,6.25495498e-06,2.80679160e-05,-3.56453439e-07
1.70000000e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,2.82282805e-06,-1.39264587e-05,-6.40319176e-05,6.47625472e-07
1.80000000e-02,8.21805581e-15,0.00000000e+00,0.00000000e+00,0.00000000e+00,-3.09426568e-06,2.68808860e-05,1.23766159e-04,-7.54990364e-07
1.90000000e-02,8.21805581e-15,0.00000000e+00,0.00000000e+00,0.00000000e+00,-2.85417656e-06,-3.60025326e-05,-1.46303938e-04,-3.44575807e-07
2.00000000e-02,1.64361116e-14,0.00000000e+00,0.00000000e+00,0.00000000e+00,2.64326319e-05,-2.98991013e-06,-1.58057458e-04,4.51243430e-06
2.10000000e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,-7.49599725e-05,1.89933873e-04,1.53762849e-03,-1.20267269e-05
2.20000000e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.05049907e-04,-5.55403478e-04,-3.08104479e-03,1.42799690e-05
2.30000000e-02,8.21805581e-15,0.00000000e+00,0.00000000e+00,0.00000000e+00,4.08688136e-05,5.93395869e-04,2.65973241e-03,1.10601586e-05
2.40000000e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,-4.88851040e-04,1.22160834e-03,3.55553479e-02,-7.22102092e-05
2.50000000e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,6.92209110e-04,-3.61610803e-03,6.42445229e-02,8.59826807e-05
2.60000000e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.61213976e-04,1.40688282e-03,6.81339506e-02,1.12921880e-04
2.70000000e-02,-8.21805581e-15,0.00000000e+00,0.00000000e+00,0.00000000e+00,-2.84025231e-03,2.80971511e-02,6.44115521e-02,-3.91641770e-04
2.80000000e-02,-8.21805581e-15,0.00000000e+00,0.00000000e+00,0.00000000e+00,-6.32293211e-04,5.61370855e-02,6.44449994e-02,-2.31368306e-05
2.90000000e-02,8.21805581e-15,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.72505012e-02,6.57825312e-02,6.54433906e-02,1.19647035e-03
3.00000000e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,4.02569828e-02,6.37357505e-02,6.57427122e-02,-5.31640961e-05
3.10000000e-02,-1.64361116e-14,0.00000000e+00,0.00000000e+00,0.00000000e+00,5.22633102e-02,6.23251788e-02,6.59974587e-02,-3.07885681e-03
3.20000000e-02,-3.28722232e-14,0.00000000e+00,0.00000000e+00,0.00000000e+00,5.27026590e-02,6.33123927e-02,6.63451258e-02,5.79223670e-05
3.30000000e-02,1.64361116e-14,0.00000000e+00,0.00000000e+00,0.00000000e+00,5.05701339e-02,6.43173471e-02,6.66799449e-02,1.38833469e-02
3.40000000e-02,1.80797228e-13,0.00000000e+00,0.00000000e+00,0.00000000e+00,5.03472206e-02,6.48729916e-02,6.70060404e-02,3.15413137e-02
3.50000000e-02,1.78824894e-11,0.00000000e+00,0.00000000e+00,0.00000000e+00,5.10709401e-02,6.54165512e-02,6.73331332e-02,4.28866396e-02
3.60000000e-02,1.32378087e-09,0.00000000e+00,0.00000000e+00,0.00000000e+00,5.15225468e-02,6.60248947e-02,6.76592998e-02,4.55396710e-02
3.70000000e-02,7.59986160e-08,0.00000000e+00,0.00000000e+00,0.00000000e+00,5.17418752e-02,6.66275583e-02,6.79844815e-02,4.41934814e-02
3.80000000e-02,3.19433768e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,5.19869142e-02,6.72181726e-02,6.83079697e-02,4.32389027e-02
3.90000000e-02,9.15001938e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,5.22737625e-02,6.78056764e-02,6.86304675e-02,4.35122298e-02
4.00000000e-02,1.59125310e-03,0.00000000e+00,0.00000000e+00,0.00000000e+00,5.25574691e-02,6.83896423e-02,6.89521311e-02,4.41167640e-02
4.10000000e-02,1.35715176e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00,5.28335979e-02,6.89706564e-02,6.92721435e-02,4.45122111e-02
4.20000000e-02,4.00957750e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00,5.31088892e-02,6.95483476e-02,6.95912477e-02,4.47612929e-02
4.30000000e-02,4.69868433e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00,5.33838432e-02,7.01215211e-02,6.99094023e-02,4.50162943e-02
