time_s,AorticArchII,ThoracicAortaII,LSubclavianI,RIliacFemoralII,LUlnar,RAnteriorTibial,RUlnar,Splenic
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.00000000e-03,-1.97147078e-25,-5.58818008e-29,1.74050958e-68,6.06079640e-14,1.74767021e-15,-1.18992148e-18,6.91677491e-18,-2.28151902e-18
2.00000000e-03,-9.75334741e-22,3.03523374e-26,-8.01352939e-62,1.20939082e-13,7.89706231e-15,1.35541785e-15,-5.13579671e-15,-4.99627133e-16
3.00000000e-03,-1.88022248e-19,5.94158936e-23,-1.84703329e-56,2.95631961e-14,1.00746380e-14,-7.99210304e-14,2.84541101e-13,1.28238479e-14
4.00000000e-03,-4.43669801e-18,8.82263380e-21,-2.38406763e-53,-5.64377927e-14,1.82433484e-13,-1.00181290e-12,4.43529095e-12,-1.72395201e-14
5.00000000e-03,-6.32010017e-18,4.85736529e-19,-3.16570186e-51,-5.62922338e-14,5.03102580e-12,-8.10425038e-12,3.87205681e-11,-1.78645768e-12
6.00000000e-03,-6.27521293e-17,1.68302923e-17,4.85370643e-50,-5.60345605e-14,3.66113029e-11,-1.90704941e-11,2.33733490e-10,-6.48890328e-12
7.00000000e-03,-5.47882892e-16,1.16949391e-15,7.85388887e-47,-5.57782267e-14,-7.09482606e-11,2.17510222e-10,2.10997130e-10,5.28677214e-11
8.00000000e-03,-1.66734176e-15,4.17058415e-15,2.22594518e-44,-5.59584852e-14,-6.81936206e-10,6.20921297e-10,-5.80479833e-09,-4.44620308e-11
9.00000000e-03,-2.99263831e-15,-1.06906090e-14,5.61369842e-42,-5.55623740e-14,2.74726040e-09,-4.23085461e-09,-7.42049023e-09,-4.39375666e-10
1.00000000e-02,-1.37255657e-14,4.37103024e-15,1.39873476e-39,-5.53376621e-14,-2.89598745e-09,5.26288924e-09,8.89521227e-08,2.29419069e-09
1.10000000e-02,-1.19950315e-14,1.51489706e-15,3.47894090e-37,-5.53480565e-14,-1.00384067e-08,1.77005176e-08,-1.72341059e-07,-7.20003634e-09
1.20000000e-02,4.85761574e-14,3.16632461e-15,8.68457450e-35,-5.44737813e-14,6.02549452e-08,-1.08057140e-07,-1.18438096e-07,1.88308261e-08
1.30000000e-02,2.64922803e-14,-5.25698894e-16,1.76824464e-32,-5.43078829e-14,-1.97630742e-07,3.47055679e-07,1.63274355e-06,-4.65668359e-08
1.40000000e-02,3.48947591e-15,-3.28291772e-15,2.09431073e-30,-5.38103901e-14,5.27205073e-07,-9.10165354e-07,-6.05228706e-06,1.13941858e-07
1.50000000e-02,8.12910926e-14,-4.73500150e-17,2.09923204e-28,-5.37923086e-14,-1.25450555e-06,2.21786604e-06,1.69870282e-05,-2.71625160e-07
1.60000000e-02,2.01245137e-13,9.99184792e-16,2.27658602e-26,-5.38328477e-14,2.67109543e-06,-5.22934344e-06,-4.24284848e-05,5.94990467e-07
1.70000000e-02,2.04995692e-13,-7.88708966e-15,2.36517600e-24,-5.28508192e-14,-4.72715306e-06,1.16540319e-05,9.68261626e-05,-1.08285659e-06
1.80000000e-02,8.08242143e-13,5.58309032e-13,2.29707066e-22,-5.30932419e-14,5.20633843e-06,-2.25371244e-05,-1.87342414e-04,1.26811012e-06
1.90000000e-02,1.12381855e-12,5.21438220e-13,2.03882236e-20,-5.27143419e-14,4.67315282e-06,3.03301790e-05,2.22272364e-04,5.54408923e-07
2.00000000e-02,1.06855237e-12,5.20768474e-13,1.91496373e-18,-5.23548781e-14,-4.39858493e-05,1.90953931e-06,2.35615023e-04,-7.49759158e-06
2.10000000e-02,-7.18960543e-14,5.27142040e-13,2.10863410e-16,-5.23551530e-14,1.25095828e-04,-1.57854712e-04,-2.31826650e-03,2.00582897e-05
2.20000000e-02,8.98085322e-13,-1.33259277e-13,9.14034914e-16,-5.20964872e-14,-1.75876560e-04,4.64267084e-04,4.66016190e-03,-2.39295699e-05
2.30000000e-02,1.38299058e-12,-2.79286952e-14,-1.24154492e-15,-5.18469645e-14,-6.67238831e-05,-5.00201542e-04,-4.04697954e-03,-1.81757732e-05
2.40000000e-02,7.03750121e-13,2.11811059e-13,2.02120160e-15,-5.16402320e-14,8.14828800e-04,-1.01175280e-03,-5.36329750e-02,1.20282433e-04
