time_s,pressure_kPa,flow_rate_ml_s,delta_radius_mm
0.000000e+00,9.460000e+00,0.000000e+00,0.000000e+00
5.000000e-03,9.459971e+00,-1.032007e-03,-3.109127e-06
1.000000e-02,9.439044e+00,-7.462827e-01,-2.252700e-03
1.500000e-02,9.422368e+00,-1.337740e+00,-4.045433e-03
2.000000e-02,9.398395e+00,-2.185323e+00,-6.622454e-03
2.500000e-02,9.367185e+00,-3.131056e+00,-9.977497e-03
3.000000e-02,9.334328e+00,-4.162227e+00,-1.350964e-02
3.500000e-02,9.282601e+00,-4.522420e+00,-1.907026e-02
4.000000e-02,9.235836e+00,-4.791168e+00,-2.409738e-02
4.500000e-02,9.196048e+00,-4.915466e+00,-2.837462e-02
5.000000e-02,9.146279e+00,-5.492557e+00,-3.372464e-02
5.500000e-02,9.107533e+00,-5.816505e+00,-3.788982e-02
6.000000e-02,9.076699e+00,-5.807561e+00,-4.120442e-02
6.500000e-02,9.051941e+00,-5.477418e+00,-4.386589e-02
7.000000e-02,9.034139e+00,-4.905108e+00,-4.577960e-02
7.500000e-02,9.019346e+00,-4.204663e+00,-4.736983e-02
8.000000e-02,9.006332e+00,-3.409773e+00,-4.876887e-02
8.500000e-02,8.996858e+00,-2.473324e+00,-4.978727e-02
9.000000e-02,8.991100e+00,-1.387017e+00,-5.040625e-02
9.500000e-02,8.990524e+00,-1.449789e-01,-5.046822e-02
1.000000e-01,8.995489e+00,1.317606e+00,-4.993443e-02
1.050000e-01,9.007371e+00,3.003239e+00,-4.865716e-02
1.100000e-01,9.028365e+00,4.911931e+00,-4.640035e-02
1.150000e-01,9.057884e+00,6.983511e+00,-4.322710e-02
1.200000e-01,9.096921e+00,9.207922e+00,-3.903058e-02
1.250000e-01,9.145541e+00,1.158363e+01,-3.380401e-02
1.300000e-01,9.203695e+00,1.410474e+01,-2.755257e-02
1.350000e-01,9.271322e+00,1.677292e+01,-2.028270e-02
1.400000e-01,9.348998e+00,1.957382e+01,-1.193258e-02
1.450000e-01,9.437352e+00,2.252864e+01,-2.434689e-03
1.500000e-01,9.537916e+00,2.566661e+01,8.375932e-03
1.550000e-01,9.652411e+00,2.903174e+01,2.068401e-02
1.600000e-01,9.782503e+00,3.265254e+01,3.466877e-02
1.650000e-01,9.929336e+00,3.654753e+01,5.045309e-02
1.700000e-01,1.009318e+01,4.070457e+01,6.806644e-02
1.750000e-01,1.027340e+01,4.507719e+01,8.743950e-02
1.800000e-01,1.046787e+01,4.958038e+01,1.083451e-01
1.850000e-01,1.067386e+01,5.409126e+01,1.304882e-01
1.900000e-01,1.088785e+01,5.847403e+01,1.534923e-01
1.950000e-01,1.110612e+01,6.258504e+01,1.769560e-01
2.000000e-01,1.132533e+01,6.629324e+01,2.005206e-01
2.050000e-01,1.154280e+01,6.948568e+01,2.238987e-01
2.100000e-01,1.175695e+01,7.208455e+01,2.469197e-01
2.150000e-01,1.196707e+01,7.404978e+01,2.695075e-01
2.200000e-01,1.217349e+01,7.539833e+01,2.916970e-01
2.250000e-01,1.237774e+01,7.614025e+01,3.136540e-01
2.300000e-01,1.258088e+01,7.634384e+01,3.354912e-01
2.350000e-01,1.278391e+01,7.610447e+01,3.573168e-01
2.400000e-01,1.298831e+01,7.550387e+01,3.792901e-01
2.450000e-01,1.319359e+01,7.461861e+01,4.013568e-01
2.500000e-01,1.339971e+01,7.352998e+01,4.235149e-01
2.550000e-01,1.360493e+01,7.230016e+01,4.455753e-01
2.600000e-01,1.380791e+01,7.092201e+01,4.673957e-01
2.650000e-01,1.400698e+01,6.945411e+01,4.887961e-01
2.700000e-01,1.420005e+01,6.788905e+01,5.095502e-01
2.750000e-01,1.438493e+01,6.620582e+01,5.294254e-01
2.800000e-01,1.456138e+01,6.438875e+01,5.483929e-01
2.850000e-01,1.472682e+01,6.244189e+01,5.661775e-01
2.900000e-01,1.488356e+01,6.034127e+01,5.830271e-01
2.950000e-01,1.502934e+01,5.807844e+01,5.986986e-01
3.000000e-01,1.516461e+01,5.565266e+01,6.132403e-01
3.050000e-01,1.529000e+01,5.306433e+01,6.267188e-01
3.100000e-01,1.540537e+01,5.030436e+01,6.391210e-01
3.150000e-01,1.551162e+01,4.736054e+01,6.505432e-01
