time_s,pressure_kPa,flow_rate_ml_s,delta_radius_mm
0.000000e+00,9.460000e+00,0.000000e+00,0.000000e+00
5.000000e-03,9.460000e+00,6.674954e-08,-2.436332e-10
1.000000e-02,9.459959e+00,6.022935e-04,-2.201777e-06
1.500000e-02,9.459916e+00,1.228341e-03,-4.502551e-06
2.000000e-02,9.439450e+00,3.002175e-01,-1.100932e-03
2.500000e-02,9.398955e+00,2.462780e-01,-3.270364e-03
3.000000e-02,9.364698e+00,2.297497e-01,-5.105589e-03
3.500000e-02,9.325953e+00,9.984601e-02,-7.181271e-03
4.000000e-02,9.283199e+00,-1.359612e-01,-9.471713e-03
4.500000e-02,9.236446e+00,-3.885796e-01,-1.197640e-02
5.000000e-02,9.189475e+00,-6.288529e-01,-1.449273e-02
5.500000e-02,9.144074e+00,-8.174161e-01,-1.692500e-02
6.000000e-02,9.103901e+00,-8.913298e-01,-1.907716e-02
6.500000e-02,9.050028e+00,-1.126256e+00,-2.196332e-02
7.000000e-02,9.004917e+00,-1.198552e+00,-2.438003e-02
7.500000e-02,8.968671e+00,-1.124766e+00,-2.632182e-02
8.000000e-02,8.940867e+00,-9.312038e-01,-2.781133e-02
8.500000e-02,8.919741e+00,-6.105512e-01,-2.894314e-02
9.000000e-02,8.902503e+00,-2.341309e-01,-2.986664e-02
9.500000e-02,8.888281e+00,1.593400e-01,-3.062852e-02
1.000000e-01,8.879976e+00,5.917741e-01,-3.107344e-02
1.050000e-01,8.878076e+00,1.055058e+00,-3.117523e-02
1.100000e-01,8.883424e+00,1.562965e+00,-3.088875e-02
1.150000e-01,8.897317e+00,2.127256e+00,-3.014445e-02
1.200000e-01,8.920757e+00,2.757997e+00,-2.888870e-02
1.250000e-01,8.955197e+00,3.470792e+00,-2.704367e-02
1.300000e-01,8.999613e+00,4.243089e+00,-2.466415e-02
1.350000e-01,9.054605e+00,5.074951e+00,-2.171812e-02
1.400000e-01,9.120669e+00,5.964098e+00,-1.817885e-02
