time_s,pressure_kPa,flow_rate_ml_s,delta_radius_mm
0.000000e+00,9.460000e+00,0.000000e+00,0.000000e+00
5.000000e-03,9.460000e+00,7.563758e-14,0.000000e+00
1.000000e-02,9.460000e+00,-8.031428e-06,-2.401315e-08
1.500000e-02,9.442067e+00,-5.290975e-01,-1.927830e-03
2.000000e-02,9.427317e+00,-9.615462e-01,-3.513420e-03
2.500000e-02,9.404276e+00,-1.643211e+00,-5.990308e-03
3.000000e-02,9.356080e+00,-1.854984e+00,-1.117130e-02
3.500000e-02,9.306049e+00,-2.235882e+00,-1.654956e-02
4.000000e-02,9.257453e+00,-2.677616e+00,-2.177361e-02
4.500000e-02,9.211185e+00,-3.143162e+00,-2.674732e-02
5.000000e-02,9.172690e+00,-3.475358e+00,-3.088557e-02
5.500000e-02,9.119733e+00,-4.180178e+00,-3.657834e-02
6.000000e-02,9.076352e+00,-4.538950e+00,-4.124178e-02
6.500000e-02,9.041921e+00,-4.586442e+00,-4.494307e-02
7.000000e-02,9.014821e+00,-4.342328e+00,-4.785628e-02
7.500000e-02,8.994291e+00,-3.831740e+00,-5.006319e-02
8.000000e-02,8.976982e+00,-3.173093e+00,-5.192392e-02
8.500000e-02,8.961680e+00,-2.427231e+00,-5.356888e-02
9.000000e-02,8.950423e+00,-1.570595e+00,-5.477896e-02
9.500000e-02,8.942393e+00,-5.648993e-01,-5.564223e-02
1.000000e-01,8.939493e+00,5.857793e-01,-5.595402e-02
1.050000e-01,8.943136e+00,1.878758e+00,-5.556236e-02
1.100000e-01,8.955349e+00,3.328842e+00,-5.424950e-02
1.150000e-01,8.978192e+00,4.955594e+00,-5.179391e-02
1.200000e-01,9.009616e+00,6.719532e+00,-4.841587e-02
1.250000e-01,9.051361e+00,8.641955e+00,-4.392824e-02
1.300000e-01,9.103229e+00,1.071860e+01,-3.835251e-02
1.350000e-01,9.165819e+00,1.294631e+01,-3.162421e-02
1.400000e-01,9.238482e+00,1.530130e+01,-2.381294e-02
1.450000e-01,9.321612e+00,1.777711e+01,-1.487660e-02
1.500000e-01,9.415999e+00,2.037335e+01,-4.730056e-03
1.550000e-01,9.523177e+00,2.311164e+01,6.791443e-03
1.600000e-01,9.644788e+00,2.602757e+01,1.986450e-02
1.650000e-01,9.782740e+00,2.916026e+01,3.469420e-02
1.700000e-01,9.938201e+00,3.253971e+01,5.140607e-02
1.750000e-01,1.011161e+01,3.616590e+01,7.004732e-02
1.800000e-01,1.030278e+01,4.001670e+01,9.059811e-02
1.850000e-01,1.050953e+01,4.402052e+01,1.128235e-01
1.900000e-01,1.072906e+01,4.808007e+01,1.364231e-01
1.950000e-01,1.095786e+01,5.206055e+01,1.610186e-01
2.000000e-01,1.119210e+01,5.581516e+01,1.861986e-01
2.050000e-01,1.142828e+01,5.920427e+01,2.115877e-01
2.100000e-01,1.166367e+01,6.209831e+01,2.368920e-01
2.150000e-01,1.189594e+01,6.441977e+01,2.618611e-01
2.200000e-01,1.212455e+01,6.610433e+01,2.864361e-01
2.250000e-01,1.234916e+01,6.716368e+01,3.105823e-01
2.300000e-01,1.257031e+01,6.763127e+01,3.343550e-01
2.350000e-01,1.278877e+01,6.758595e+01,3.578398e-01
2.400000e-01,1.300500e+01,6.714543e+01,3.810841e-01
2.450000e-01,1.321969e+01,6.638725e+01,4.041632e-01
2.500000e-01,1.343284e+01,6.540174e+01,4.270758e-01
2.550000e-01,1.364369e+01,6.429206e+01,4.497421e-01
2.600000e-01,1.385100e+01,6.309572e+01,4.720280e-01
2.650000e-01,1.405356e+01,6.186366e+01,4.938032e-01
2.700000e-01,1.424990e+01,6.055307e+01,5.149093e-01
2.750000e-01,1.443774e+01,5.918506e+01,5.351017e-01
2.800000e-01,1.461745e+01,5.775269e+01,5.544211e-01
2.850000e-01,1.478776e+01,5.619721e+01,5.727290e-01
2.900000e-01,1.494794e+01,5.450499e+01,5.899478e-01
2.950000e-01,1.509802e+01,5.264722e+01,6.060809e-01
3.000000e-01,1.523791e+01,5.063888e+01,6.211195e-01
3.050000e-01,1.536770e+01,4.846048e+01,6.350720e-01
3.100000e-01,1.548878e+01,4.611227e+01,6.480874e-01
3.150000e-01,1.559921e+01,4.362842e+01,6.599583e-01
3.200000e-01,1.569890e+01,4.102679e+01,6.706754e-01
3.250000e-01,1.578764e+01,3.832369e+01,6.802153e-01
3.300000e-01,1.586573e+01,3.552581e+01,6.886098e-01
3.350000e-01,1.593289e+01,3.270671e+01,6.958294e-01
3.400000e-01,1.598988e+01,2.985991e+01,7.019556e-01
3.450000e-01,1.603674e+01,2.704343e+01,7.069928e-01
3.500000e-01,1.607449e+01,2.431734e+01,7.110515e-01
3.550000e-01,1.610502e+01,2.170939e+01,7.143325e-01
3.600000e-01,1.612786e+01,1.922336e+01,7.167882e-01
3.650000e-01,1.614430e+01,1.692177e+01,7.185551e-01
3.700000e-01,1.615229e+01,1.473531e+01,7.194144e-01
3.750000e-01,1.615105e+01,1.262441e+01,7.192810e-01
3.800000e-01,1.613884e+01,1.052690e+01,7.179681e-01
3.850000e-01,1.611388e+01,8.360806e+00,7.152855e-01
3.900000e-01,1.607515e+01,6.080670e+00,7.111223e-01
3.950000e-01,1.602218e+01,3.655730e+00,7.054279e-01
4.000000e-01,1.595617e+01,1.094064e+00,6.983321e-01
4.050000e-01,1.587864e+01,-1.563084e+00,6.899975e-01
4.100000e-01,1.579319e+01,-4.196147e+00,6.808113e-01
4.150000e-01,1.570303e+01,-6.702193e+00,6.711195e-01
4.200000e-01,1.561068e+01,-8.976768e+00,6.611915e-01
4.250000e-01,1.551850e+01,-1.092750e+01,6.512826e-01
4.300000e-01,1.542781e+01,-1.248610e+01,6.415333e-01
4.350000e-01,1.533868e+01,-1.364826e+01,6.319523e-01
