time_s,AorticArchI,ThoAortaIII,AbdomAortaV,RightCCA,RightRenal,RightCommonIliac,RightICA,RightRadial,RightInternalIliac,RightPostInteross,RightFemoralII,RightAntTibial
0.00000000e+00,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01
1.00000000e-03,1.00000706e+01,9.99994337e+00,1.00000741e+01,1.00000877e+01,9.99999954e+00,1.00000180e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00000000e+01,1.00002698e+01,1.00000000e+01
2.00000000e-03,1.00003468e+01,9.99487848e+00,1.00001233e+01,1.00010188e+01,1.00000568e+01,1.00001111e+01,1.00000003e+01,9.99999999e+00,9.99999863e+00,9.99999999e+00,1.00010057e+01,1.00000000e+01
3.00000000e-03,1.00004401e+01,9.95999038e+00,9.99898910e+00,1.00011104e+01,9.99944340e+00,1.00001247e+01,1.00000017e+01,9.99999974e+00,9.99999620e+00,9.99999997e+00,1.00002414e+01,1.00000000e+01
4.00000000e-03,1.00005692e+01,9.95780331e+00,9.99406644e+00,1.00007109e+01,9.97370662e+00,1.00000522e+01,9.99999627e+00,1.00000011e+01,9.99998928e+00,1.00000003e+01,1.00001592e+01,9.99999997e+00
5.00000000e-03,1.00001976e+01,9.94949595e+00,1.00315282e+01,1.00003224e+01,9.94953862e+00,9.99903701e+00,9.99997458e+00,9.99999737e+00,9.99967569e+00,9.99999900e+00,1.00005827e+01,1.00000001e+01
6.00000000e-03,9.99927590e+00,9.94549323e+00,9.99882567e+00,1.00076729e+01,9.93100320e+00,1.00019217e+01,1.00001097e+01,1.00000040e+01,1.00000283e+01,1.00000027e+01,1.00004296e+01,9.99999969e+00
7.00000000e-03,1.00046678e+01,1.00065330e+01,1.00013236e+01,9.98648466e+00,9.92104041e+00,1.00010882e+01,9.99971150e+00,9.99999988e+00,9.99684071e+00,9.99999279e+00,1.00003378e+01,1.00000003e+01
8.00000000e-03,9.98693432e+00,1.00087088e+01,1.00028027e+01,1.00658823e+01,9.91112874e+00,1.00471521e+01,1.00007245e+01,9.99998197e+00,9.99882869e+00,1.00000166e+01,1.00004142e+01,1.00000010e+01
9.00000000e-03,9.93080667e+00,1.00094033e+01,1.00038895e+01,1.00432943e+01,9.89414638e+00,1.00148165e+01,9.99814360e+00,1.00000412e+01,9.98356816e+00,9.99997594e+00,1.00004195e+01,9.99999679e+00
1.00000000e-02,9.87703039e+00,1.00097526e+01,1.00050009e+01,1.00269640e+01,9.87888352e+00,1.00099768e+01,1.00040279e+01,9.99999026e+00,9.96965975e+00,9.99999166e+00,1.00004322e+01,1.00000010e+01
1.10000000e-02,9.82379998e+00,1.00115307e+01,1.00063546e+01,1.00098263e+01,9.85704826e+00,1.00127216e+01,9.99601613e+00,9.99988873e+00,9.95556745e+00,1.00001314e+01,1.00003794e+01,1.00000100e+01
1.20000000e-02,9.81432871e+00,1.00134901e+01,1.00074230e+01,9.92197945e+00,9.92952315e+00,1.00131828e+01,9.98939654e+00,1.00001146e+01,9.94179229e+00,9.99977803e+00,1.00003128e+01,9.99999029e+00
1.30000000e-02,9.79027854e+00,1.00127386e+01,1.00084963e+01,9.91787510e+00,9.94170464e+00,1.00140469e+01,1.00492027e+01,1.00002466e+01,9.92824408e+00,9.99972778e+00,1.00004935e+01,9.99997523e+00
1.40000000e-02,9.78617962e+00,1.00144706e+01,1.00107879e+01,9.93523929e+00,9.93185878e+00,1.00150009e+01,1.01094478e+01,9.99967192e+00,9.91475907e+00,1.00007915e+01,1.00006497e+01,1.00000287e+01
1.50000000e-02,9.79393733e+00,1.00159024e+01,1.00091764e+01,9.93933107e+00,9.93241462e+00,1.00173741e+01,1.01128453e+01,9.99934945e+00,9.90161403e+00,1.00002671e+01,1.00002560e+01,1.00000649e+01
