time_s,AorticArchI,ThoAortaIII,AbdomAortaV,RightCCA,RightRenal,RightCommonIliac,RightICA,RightRadial,RightInternalIliac,RightPostInteross,RightFemoralII,RightAntTibial
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.00000000e-03,7.94410794e+00,6.06418900e-01,7.09886826e-01,1.01569316e+00,-1.83860027e-06,3.90861975e-01,-2.26745940e-08,3.74583914e-09,-7.94501247e-08,5.41337604e-11,3.30397043e-01,-2.63186841e-11
2.00000000e-03,8.50834707e+00,1.96987470e+00,7.12336790e-01,1.07763565e+00,4.24264440e-04,4.10636939e-01,1.12590698e-06,-5.83125737e-09,-3.46425237e-06,1.72419694e-09,4.17293909e-01,-1.00903250e-09
3.00000000e-03,8.54484150e+00,5.33331586e+00,7.02791692e-01,1.08036156e+00,-4.95463243e-03,4.11228569e-01,6.01679660e-06,-2.34044640e-07,-5.70388269e-06,6.65637211e-09,3.25397432e-01,6.77139132e-09
4.00000000e-03,8.53842031e+00,6.77496199e+00,6.29160194e-01,1.07859772e+00,-2.04940167e-02,4.11285817e-01,-1.67509657e-05,9.79134047e-07,6.82422004e-05,-6.14043198e-08,3.33697226e-01,-2.15002407e-08
5.00000000e-03,8.61537787e+00,7.57309613e+00,3.16053388e+00,1.08014792e+00,5.75354569e-02,4.03737048e-01,-8.66899226e-05,-2.41226026e-06,-2.40802281e-04,1.97392986e-07,3.50085444e-01,3.91506623e-08
6.00000000e-03,8.60013582e+00,7.30002997e+00,3.94998720e+00,1.11011710e+00,1.63558009e-01,4.22966742e-01,3.90520030e-04,3.65863308e-06,-3.22239874e-03,-5.35149350e-07,3.43773766e-01,3.43372756e-09
7.00000000e-03,8.11009232e+00,1.15920346e+01,3.92976915e+00,9.49328498e-01,3.14493120e-01,4.01130761e-01,-1.01121050e-03,1.99623460e-07,6.43617411e-02,1.42984886e-06,3.42151080e-01,-2.35511440e-07
8.00000000e-03,1.01047137e+01,1.16494664e+01,3.93341452e+00,1.83024596e+00,4.62803540e-01,1.12816692e+00,2.49197472e-03,-1.75657206e-05,2.11389656e-01,-3.31346862e-06,3.43977735e-01,5.62299775e-07
9.00000000e-03,2.06213211e+01,1.17270492e+01,3.92941333e+00,3.76099521e+00,5.68443070e-01,1.72950577e+00,-6.48160914e-03,3.94354803e-05,2.73835226e-01,4.89577649e-06,3.43780857e-01,-2.11879964e-07
1.00000000e-02,1.43977316e+01,1.18176386e+01,3.92628924e+00,3.92803588e+00,6.79657481e-01,1.74629478e+00,1.61574320e-02,-8.35747707e-06,3.41042170e-01,1.45841197e-06,3.43210482e-01,-1.35800342e-06
1.10000000e-02,8.89053735e+00,1.17985569e+01,3.93084131e+00,3.60018926e+00,7.78329681e-01,1.73607729e+00,-2.04259110e-02,-1.10278181e-04,4.05366082e-01,-2.60236092e-05,3.43713464e-01,1.90918426e-06
1.20000000e-02,1.09663944e+01,1.18165031e+01,3.92905343e+00,2.72439100e+00,1.38194343e+00,1.74348996e+00,-6.64233163e-04,1.15821935e-04,4.69179558e-01,4.42711450e-05,3.44165380e-01,1.62022067e-06
1.30000000e-02,1.63237576e+01,1.20470573e+01,3.92717596e+00,2.68502523e+00,1.64197004e+00,1.74177604e+00,3.56597955e-01,2.41859686e-04,5.32101448e-01,5.47608795e-05,3.42956837e-01,-4.60500443e-06
1.40000000e-02,1.84875607e+01,1.20804283e+01,3.94134152e+00,2.82017426e+00,1.76249336e+00,1.74560359e+00,7.25335248e-01,-3.47117702e-04,5.93419838e-01,-1.65953124e-04,3.42139324e-01,-1.02735345e-06
1.50000000e-02,1.90466679e+01,1.20689487e+01,4.07977725e+00,2.85391127e+00,1.93887362e+00,1.76371240e+00,8.40654135e-01,-6.20640288e-04,6.54376437e-01,-3.27740380e-05,3.44734844e-01,7.63995052e-06
1.60000000e-02,2.00881342e+01,1.17057592e+01,3.96650805e+00,2.90860651e+00,2.04229990e+00,1.69102828e+00,8.70578210e-01,6.44696874e-04,7.13926258e-01,1.14496130e-03,3.47161303e-01,-1.70112797e-06
